method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
icnet_r18-d8_512x1024_160k_cityscapes, 20210830_231233.log.json, 0, 0, 0, 0, 0, 0
icnet_r18-d8_512x1024_160k_cityscapes, 20210831_144215.log.json, 50.12, 60.6, 2, 50.12, 60.6, 2
icnet_r18-d8_512x1024_80k_cityscapes, 20210830_223739.log.json, 50.07, 61.839999999999996, 4, 50.07, 61.839999999999996, 4
icnet_r18-d8_512x1024_80k_cityscapes, 20210831_144239.log.json, 59.830000000000005, 69.64, 4, 59.830000000000005, 69.64, 4
icnet_r18-d8_768x768_160k_cityscapes, 20210830_231233.log.json, 0, 0, 0, 0, 0, 0
icnet_r18-d8_768x768_160k_cityscapes, 20210831_144238.log.json, 50.57000000000001, 59.58, 2, 50.57000000000001, 59.58, 2
icnet_r18-d8_768x768_80k_cityscapes, 20210830_223708.log.json, 66.58, 75.58, 10, 66.58, 75.58, 10
icnet_r18-d8_832x832_160k_cityscapes, 20210830_231601.log.json, 0, 0, 0, 0, 0, 0
icnet_r18-d8_832x832_160k_cityscapes, 20210831_144215.log.json, 51.9, 59.309999999999995, 2, 51.9, 59.309999999999995, 2
icnet_r18-d8_832x832_80k_cityscapes, 20210830_223739.log.json, 52.71, 60.31999999999999, 4, 52.71, 60.31999999999999, 4
icnet_r18-d8_832x832_80k_cityscapes, 20210831_144252.log.json, 61.19, 70.42, 4, 61.19, 70.42, 4
