method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
fcn_unet_s5-d16_1024x1024_160k_cityscapes, 20210901_013748.log.json, 68.78999999999999, 76.25999999999999, 10, 68.78999999999999, 76.25999999999999, 10
fcn_unet_s5-d16_1024x1024_320k_cityscapes, 20210909_142005.log.json, 68.47999999999999, 75.76, 10, 68.47999999999999, 75.76, 10
fcn_unet_s5-d16_1024x1024_80k_cityscapes, 20210901_032847.log.json, 66.24, 75.37, 10, 66.24, 75.37, 10
fcn_unet_s5-d16_4x4_1024x1024_160k_cityscapes, 20210901_234547.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x4_1024x1024_320k_cityscapes, 20210909_091444.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x4_512x1024_160k_cityscapes, 20210903_025844.log.json, 62.419999999999995, 72.46000000000001, 5, 62.419999999999995, 72.46000000000001, 5
fcn_unet_s5-d16_4x4_512x1024_320k_cityscapes, 20210909_091527.log.json, 65.58, 75.37, 4, 65.58, 75.37, 4
fcn_unet_s5-d16_4x4_512x512_160k_cityscapes, 20210901_234546.log.json, 69.73, 77.42, 10, 69.73, 77.42, 10
fcn_unet_s5-d16_4x4_512x512_320k_cityscapes, 20210908_203536.log.json, 65.31, 74.13, 6, 65.31, 74.13, 6
fcn_unet_s5-d16_4x4_512x512_320k_cityscapes, 20210910_122212.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x4_768x768_160k_cityscapes, 20210901_234547.log.json, 68.81, 76.91, 10, 68.81, 76.91, 10
fcn_unet_s5-d16_4x4_768x768_320k_cityscapes, 20210908_174137.log.json, 59.5, 69.11, 3, 60.89, 70.43, 2
fcn_unet_s5-d16_4x4_832x832_160k_cityscapes, 20210901_234548.log.json, 68.14, 75.63, 10, 68.14, 75.63, 10
fcn_unet_s5-d16_4x4_832x832_320k_cityscapes, 20210908_174139.log.json, 62.07, 72.14, 4, 62.8, 70.95, 3
fcn_unet_s5-d16_4x8_512x1024_160k_cityscapes, 20210903_030431.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x8_512x1024_320k_cityscapes, 20210903_030859.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x8_512x512_160k_cityscapes, 20210903_030431.log.json, 68.32000000000001, 75.48, 10, 68.32000000000001, 75.48, 10
fcn_unet_s5-d16_4x8_512x512_320k_cityscapes, 20210903_030859.log.json, 68.38, 75.51, 10, 68.38, 75.51, 10
fcn_unet_s5-d16_4x8_768x768_160k_cityscapes, 20210903_030443.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x8_768x768_320k_cityscapes, 20210903_030843.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x8_832x832_160k_cityscapes, 20210903_030431.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_4x8_832x832_320k_cityscapes, 20210903_030843.log.json, 0, 0, 0, 0, 0, 0
fcn_unet_s5-d16_512x1024_160k_cityscapes, 20210901_015431.log.json, 69.24, 77.31, 10, 69.24, 77.31, 10
fcn_unet_s5-d16_512x1024_320k_cityscapes, 20210909_092521.log.json, 68.42, 75.6, 10, 68.42, 75.6, 10
fcn_unet_s5-d16_512x1024_80k_cityscapes, 20210901_013750.log.json, 66.36999999999999, 75.16000000000001, 10, 66.36999999999999, 75.16000000000001, 10
fcn_unet_s5-d16_512x512_160k_cityscapes, 20210901_013748.log.json, 67.80000000000001, 76.41, 10, 67.80000000000001, 76.41, 10
fcn_unet_s5-d16_512x512_320k_cityscapes, 20210912_032211.log.json, 67.33, 74.33, 10, 67.33, 74.33, 10
fcn_unet_s5-d16_512x512_80k_cityscapes, 20210901_013748.log.json, 64.61, 74.36, 10, 64.61, 74.36, 10
fcn_unet_s5-d16_768x768_160k_cityscapes, 20210901_013750.log.json, 68.81, 77.14, 10, 68.81, 77.14, 10
fcn_unet_s5-d16_768x768_320k_cityscapes, 20210909_101320.log.json, 68.86, 75.98, 10, 68.86, 75.98, 10
fcn_unet_s5-d16_768x768_80k_cityscapes, 20210901_013802.log.json, 65.94, 74.68, 10, 65.94, 74.68, 10
fcn_unet_s5-d16_832x832_160k_cityscapes, 20210901_013748.log.json, 68.51, 76.01, 10, 68.51, 76.01, 10
fcn_unet_s5-d16_832x832_320k_cityscapes, 20210909_142005.log.json, 69.0, 76.29, 10, 69.0, 76.29, 10
fcn_unet_s5-d16_832x832_80k_cityscapes, 20210901_032847.log.json, 66.10000000000001, 75.44999999999999, 10, 66.10000000000001, 75.44999999999999, 10
fcn_unet_s5-d16_8x4_512x1024_160k_cityscapes, 20210903_032030.log.json, 67.45, 74.55000000000001, 10, 67.55, 75.62, 9
fcn_unet_s5-d16_8x4_512x512_160k_cityscapes, 20210903_032029.log.json, 68.55, 75.89, 10, 68.55, 75.89, 10
fcn_unet_s5-d16_8x4_768x768_160k_cityscapes, 20210903_032030.log.json, 67.09, 74.27, 10, 67.09, 74.27, 10
fcn_unet_s5-d16_8x4_832x832_160k_cityscapes, 20210903_032029.log.json, 64.39, 72.25, 7, 64.39, 72.25, 7
